Kod;Nazwa;Wskaźniki;Rok;Wartosc;Jednostka miary;Atrybut
0201011;Bolesławiec (1);przeciętna powierzchnia użytkowa 1 mieszkania;2015;63,2;m2; 
0201011;Bolesławiec (1);przeciętna powierzchnia użytkowa 1 mieszkania;2022;64,7;m2; 
0201011;Bolesławiec (1);przeciętna powierzchnia użytkowa mieszkania na 1 osobę;2015;25,2;m2; 
0201011;Bolesławiec (1);przeciętna powierzchnia użytkowa mieszkania na 1 osobę;2022;29,9;m2; 
0201011;Bolesławiec (1);mieszkania na 1000 mieszkańców;2015;398,0;-; 
0201011;Bolesławiec (1);mieszkania na 1000 mieszkańców;2022;462,1;-; 
0201011;Bolesławiec (1);przeciętna liczba izb w 1 mieszkaniu;2015;3,55;-; 
0201011;Bolesławiec (1);przeciętna liczba izb w 1 mieszkaniu;2022;3,52;-; 
0201011;Bolesławiec (1);przeciętna liczba osób na 1 mieszkanie;2015;2,51;-; 
0201011;Bolesławiec (1);przeciętna liczba osób na 1 mieszkanie;2022;2,16;-; 
0201011;Bolesławiec (1);przeciętna liczba osób na 1 izbę;2015;0,71;-; 
0201011;Bolesławiec (1);przeciętna liczba osób na 1 izbę;2022;0,61;-; 
0201022;Bolesławiec (2);przeciętna powierzchnia użytkowa 1 mieszkania;2015;118,7;m2; 
0201022;Bolesławiec (2);przeciętna powierzchnia użytkowa 1 mieszkania;2022;119,5;m2; 
0201022;Bolesławiec (2);przeciętna powierzchnia użytkowa mieszkania na 1 osobę;2015;32,9;m2; 
0201022;Bolesławiec (2);przeciętna powierzchnia użytkowa mieszkania na 1 osobę;2022;37,5;m2; 
0201022;Bolesławiec (2);mieszkania na 1000 mieszkańców;2015;277,4;-; 
0201022;Bolesławiec (2);mieszkania na 1000 mieszkańców;2022;313,7;-; 
0201022;Bolesławiec (2);przeciętna liczba izb w 1 mieszkaniu;2015;5,1;-; 
0201022;Bolesławiec (2);przeciętna liczba izb w 1 mieszkaniu;2022;5,06;-; 
0201022;Bolesławiec (2);przeciętna liczba osób na 1 mieszkanie;2015;3,6;-; 
0201022;Bolesławiec (2);przeciętna liczba osób na 1 mieszkanie;2022;3,19;-; 
0201022;Bolesławiec (2);przeciętna liczba osób na 1 izbę;2015;0,71;-; 
