Kod;Nazwa;Wskaźniki;Rok;Wartosc;Jednostka miary;Atrybut
0201011;Bolesławiec (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;38,8;osoba; 
0201011;Bolesławiec (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;50,5;osoba; 
0201011;Bolesławiec (1);współczynnik obciążenia demograficznego osobami starszymi;2015;27,7;osoba; 
0201011;Bolesławiec (1);współczynnik obciążenia demograficznego osobami starszymi;2022;39,0;osoba; 
0201022;Bolesławiec (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;21,7;osoba; 
0201022;Bolesławiec (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;30,2;osoba; 
0201022;Bolesławiec (2);współczynnik obciążenia demograficznego osobami starszymi;2015;15,1;osoba; 
0201022;Bolesławiec (2);współczynnik obciążenia demograficznego osobami starszymi;2022;22,3;osoba; 
0201032;Gromadka (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;27,3;osoba; 
0201032;Gromadka (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;38,8;osoba; 
0201032;Gromadka (2);współczynnik obciążenia demograficznego osobami starszymi;2015;18,9;osoba; 
0201032;Gromadka (2);współczynnik obciążenia demograficznego osobami starszymi;2022;29,6;osoba; 
0201043;Nowogrodziec (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;23,5;osoba; 
0201043;Nowogrodziec (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;32,2;osoba; 
0201043;Nowogrodziec (3);współczynnik obciążenia demograficznego osobami starszymi;2015;17,0;osoba; 
0201043;Nowogrodziec (3);współczynnik obciążenia demograficznego osobami starszymi;2022;23,7;osoba; 
0201044;Nowogrodziec - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;25,3;osoba; 
0201044;Nowogrodziec - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;38,6;osoba; 
0201044;Nowogrodziec - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2015;17,9;osoba; 
0201044;Nowogrodziec - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2022;28,2;osoba; 
0201045;Nowogrodziec - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;22,8;osoba; 
0201045;Nowogrodziec - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;29,9;osoba; 
0201045;Nowogrodziec - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2015;16,6;osoba; 
0201045;Nowogrodziec - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2022;21,9;osoba; 
0201052;Osiecznica (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;22,1;osoba; 
