Kod;Nazwa;Wiek;Rok;Wartosc;Jednostka miary;Atrybut
0201011;Bolesławiec (1);w wieku przedprodukcyjnym;2015;15,5;%; 
0201011;Bolesławiec (1);w wieku przedprodukcyjnym;2022;15,6;%; 
0201011;Bolesławiec (1);w wieku produkcyjnym;2015;60,8;%; 
0201011;Bolesławiec (1);w wieku produkcyjnym;2022;56,1;%; 
0201022;Bolesławiec (2);w wieku przedprodukcyjnym;2015;19,2;%; 
0201022;Bolesławiec (2);w wieku przedprodukcyjnym;2022;20,8;%; 
0201022;Bolesławiec (2);w wieku produkcyjnym;2015;66,4;%; 
0201022;Bolesławiec (2);w wieku produkcyjnym;2022;60,8;%; 
0201032;Gromadka (2);w wieku przedprodukcyjnym;2015;17,4;%; 
0201032;Gromadka (2);w wieku przedprodukcyjnym;2022;17,9;%; 
0201032;Gromadka (2);w wieku produkcyjnym;2015;64,9;%; 
0201032;Gromadka (2);w wieku produkcyjnym;2022;59,1;%; 
0201043;Nowogrodziec (3);w wieku przedprodukcyjnym;2015;19,7;%; 
0201043;Nowogrodziec (3);w wieku przedprodukcyjnym;2022;19,7;%; 
0201043;Nowogrodziec (3);w wieku produkcyjnym;2015;65,1;%; 
0201043;Nowogrodziec (3);w wieku produkcyjnym;2022;60,7;%; 
0201044;Nowogrodziec - miasto (4);w wieku przedprodukcyjnym;2015;17,3;%; 
0201044;Nowogrodziec - miasto (4);w wieku przedprodukcyjnym;2022;18,7;%; 
0201044;Nowogrodziec - miasto (4);w wieku produkcyjnym;2015;66,0;%; 
0201044;Nowogrodziec - miasto (4);w wieku produkcyjnym;2022;58,6;%; 
0201045;Nowogrodziec - obszar wiejski (5);w wieku przedprodukcyjnym;2015;20,6;%; 
0201045;Nowogrodziec - obszar wiejski (5);w wieku przedprodukcyjnym;2022;20,1;%; 
0201045;Nowogrodziec - obszar wiejski (5);w wieku produkcyjnym;2015;64,7;%; 
0201045;Nowogrodziec - obszar wiejski (5);w wieku produkcyjnym;2022;61,6;%; 
0201052;Osiecznica (2);w wieku przedprodukcyjnym;2015;21,4;%; 
0201052;Osiecznica (2);w wieku przedprodukcyjnym;2022;20,0;%; 
0201052;Osiecznica (2);w wieku produkcyjnym;2015;64,4;%; 
0201052;Osiecznica (2);w wieku produkcyjnym;2022;61,4;%; 
0201062;Warta Bolesławiecka (2);w wieku przedprodukcyjnym;2015;19,7;%; 
0201062;Warta Bolesławiecka (2);w wieku przedprodukcyjnym;2022;19,3;%; 
0201062;Warta Bolesławiecka (2);w wieku produkcyjnym;2015;64,7;%; 
0201062;Warta Bolesławiecka (2);w wieku produkcyjnym;2022;60,4;%; 
0202011;Bielawa (1);w wieku przedprodukcyjnym;2015;14,8;%; 
0202011;Bielawa (1);w wieku przedprodukcyjnym;2022;14,7;%; 
0202011;Bielawa (1);w wieku produkcyjnym;2015;62,1;%; 
