Kod;Nazwa;Wskaźniki;Rok;Wartosc;Jednostka miary;Atrybut
0201011;Bolesławiec (1);udział powierzchni terenów zieleni w powierzchni ogółem;2015;5,72;%; 
0201011;Bolesławiec (1);udział powierzchni terenów zieleni w powierzchni ogółem;2022;8,08;%; 
0201011;Bolesławiec (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0201011;Bolesławiec (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;10,3;szt.; 
0201022;Bolesławiec (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,13;%; 
0201022;Bolesławiec (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,14;%; 
0201022;Bolesławiec (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0201022;Bolesławiec (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,5;szt.; 
0201032;Gromadka (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,07;%; 
0201032;Gromadka (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,07;%; 
0201032;Gromadka (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0201032;Gromadka (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0201043;Nowogrodziec (3);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,3;%; 
0201043;Nowogrodziec (3);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,28;%; 
0201043;Nowogrodziec (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0201043;Nowogrodziec (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
